Version,subjID,Gender,Age,Ethinicity,Race,Q1_V,Q2_B,Q3_N,Q4_M,SumQ1_Q4,"When you had to learn the button response that was correct for each object image category, did you notice a structure in how the button responses were organized?",Did the structure depend on the dimension (e.g. age/gender)?,How did you decide on your button responses?,How difficult did you find this task?
3,1,Female,33,Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,4,2
4,2,Female,47,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,3,2
3,3,Male,33,Non-Hispanic/Latino,Black/African American,1,1,1,1,4,2,,,1
4,4,Male,24,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,1,4,3
2,5,Male,25,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,2,2
1,6,Female,23,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,4,3
3,7,Male,25,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,1,2,2
2,8,Male,25,Hispanic/Latino,Asian,1,1,1,1,4,1,1,1,3
2,9,Female,40,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,1,2
2,10,Female,30,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,3,2
4,11,Male,37,Non-Hispanic/Latino,Black/African American,1,1,1,1,4,2,,,4
3,12,Male,47,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,0,,2
1,13,Male,44,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,3,4
3,14,Male,31,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,2,,,5
3,15,Male,26,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,1,1,4
4,16,Female,31,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,4,3
1,17,Female,46,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,2,,,3
1,18,Female,35,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,2,3
3,19,Male,36,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,1,3,3
4,20,Male,51,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,1,3,4
1,21,Male,21,Hispanic/Latino,Multiracial,1,1,1,1,4,2,,,5
3,22,Male,37,Non-Hispanic/Latino,Asian,1,1,1,1,4,2,,,4
